positive,@VirginAmerica plus you've added commercials to the experience... tacky.
neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!
negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
negative,@VirginAmerica and it's a really big bad thing about it
negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
positive,@VirginAmerica Thanks!
negative,@VirginAmerica SFO-PDX schedule is still MIA.
positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
positive,I ❤️ flying @VirginAmerica. ☺️👍
negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
neutral,@VirginAmerica when can I book my flight to Hawaii??
negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
positive,@VirginAmerica wow this just blew my mind
neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
neutral,@VirginAmerica wish you flew out of Atlanta... Soon?
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
negative,@VirginAmerica everything was fine until you lost my bag
neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
